Last 4 Card Digits,Recency,Frequency,Monetary,Unique_Items,Avg_Order_Val,Avg_Tip,Discount_Used,Visits_Nov,Visits_Dec,Visits_Jan,Days_Since_First,Segment,Segment_Code,Churn,Churn_Probability,Risk_Level,Tier
4.0,17,1,51.36,2,25.68,35.0,0,0,0,2,17,New,1,1,0.65,Medium,Rule-Based
13.0,26,1,16.92,2,8.46,11.55,2,0,0,2,26,New,1,1,0.65,Medium,Rule-Based
30.0,49,1,45.879999999999995,2,22.939999999999998,16.13,0,0,2,0,49,Lost,3,1,0.92,High,Rule-Based
33.0,59,1,144.16,8,16.017777777777777,5.0,0,0,9,0,59,Lost,3,1,0.92,High,Rule-Based
34.0,34,1,48.14,2,12.035,1.09,0,0,4,0,34,Lost,3,1,0.92,High,Rule-Based
39.0,31,1,79.74,4,19.935,10.34,0,0,4,0,31,Lost,3,1,0.92,High,Rule-Based
40.0,40,1,230.32,10,19.19333333333333,15.0,0,0,12,0,40,Lost,3,1,0.92,High,Rule-Based
48.0,54,1,45.879999999999995,2,22.939999999999998,10.09,0,0,2,0,54,Lost,3,1,0.92,High,Rule-Based
59.0,74,1,34.95,2,17.475,5.0,0,2,0,0,74,Lost,3,1,0.92,High,Rule-Based
60.0,74,1,108.12,6,18.02,0.0,0,6,0,0,74,Lost,3,1,0.92,High,Rule-Based
63.0,60,1,168.35,8,21.04375,0.0,0,0,8,0,60,Lost,3,1,0.92,High,Rule-Based
72.0,43,1,78.75,3,26.25,0.0,0,0,3,0,43,Lost,3,1,0.92,High,Rule-Based
88.0,18,1,67.66,5,11.276666666666666,14.89,0,0,0,6,18,New,1,1,0.65,Medium,Rule-Based
96.0,2,1,24.0,1,24.0,25.0,0,0,0,1,2,New,1,1,0.3,Low,Rule-Based
103.0,67,1,138.87,5,23.145,25.0,0,6,0,0,67,Lost,3,1,0.92,High,Rule-Based
106.0,3,1,232.75,9,21.15909090909091,3.13,0,0,0,11,3,New,1,1,0.3,Low,Rule-Based
109.0,70,1,71.03999999999999,3,23.679999999999996,15.410000000000002,0,3,0,0,70,Lost,3,1,0.92,High,Rule-Based
116.0,45,1,79.64999999999999,4,19.912499999999998,4.78,0,0,4,0,45,Lost,3,1,0.92,High,Rule-Based
120.0,82,1,50.32,2,25.16,5.3,0,2,0,0,82,Lost,3,1,0.92,High,Rule-Based
121.0,46,1,44.739999999999995,2,22.369999999999997,8.95,0,0,2,0,46,Lost,3,1,0.92,High,Rule-Based
128.0,61,1,45.87,3,15.29,6.0,0,0,3,0,61,Lost,3,1,0.92,High,Rule-Based
138.0,45,1,22.91,2,11.455,12.78,0,0,2,0,45,Lost,3,1,0.92,High,Rule-Based
146.0,19,1,102.59,6,17.098333333333333,10.0,0,0,0,6,19,New,1,1,0.65,Medium,Rule-Based
155.0,19,1,218.33999999999997,10,19.849090909090908,36.94,0,0,0,11,19,New,1,1,0.65,Medium,Rule-Based
157.0,46,1,30.64,2,15.32,24.26,0,0,2,0,46,Lost,3,1,0.92,High,Rule-Based
163.0,16,1,18.54,1,18.54,12.96,0,0,0,1,16,New,1,1,0.65,Medium,Rule-Based
170.0,72,1,44.79,2,22.395,10.0,0,2,0,0,72,Lost,3,1,0.92,High,Rule-Based
177.0,31,1,77.53999999999999,4,19.384999999999998,14.0,0,0,4,0,31,Lost,3,1,0.92,High,Rule-Based
181.0,11,1,52.33,3,17.44333333333333,8.73,0,0,0,3,11,New,1,1,0.3,Low,Rule-Based
185.0,12,1,65.64,3,16.41,13.97,0,0,0,4,12,New,1,1,0.3,Low,Rule-Based
194.0,61,1,199.89,9,22.209999999999997,5.78,0,0,9,0,61,Lost,3,1,0.92,High,Rule-Based
212.0,74,1,238.04,10,21.64,7.0,0,11,0,0,74,Lost,3,1,0.92,High,Rule-Based
