Last 4 Card Digits,Recency,Frequency,Monetary,Cluster,Segment,Churn
0.0,27,1,91.89,1,New,0
4.0,47,1,51.36,1,New,0
10.0,6,3,794.28,3,Occasional,0
12.0,21,1,261.98,1,New,0
13.0,55,1,16.92,1,New,0
24.0,5,3,174.73,1,New,0
30.0,79,1,45.879999999999995,0,Lost,1
33.0,89,1,144.16,0,Lost,1
34.0,64,1,48.14,0,Lost,1
36.0,8,1,36.06,1,New,0
39.0,61,1,79.74,0,Lost,1
40.0,70,1,230.32,0,Lost,1
47.0,28,1,215.16,1,New,0
48.0,84,1,45.879999999999995,0,Lost,1
57.0,55,2,300.34,1,New,0
59.0,104,1,34.95,0,Lost,1
60.0,103,1,108.12,0,Lost,1
63.0,90,1,168.35,0,Lost,1
72.0,72,1,78.75,0,Lost,1
81.0,14,1,16.41,1,New,0
84.0,28,1,86.28999999999999,1,New,0
85.0,12,1,210.64,1,New,0
88.0,48,1,67.66,1,New,0
96.0,32,1,24.0,1,New,0
103.0,97,1,138.87,0,Lost,1
106.0,33,1,232.75,1,New,0
109.0,100,1,71.03999999999999,0,Lost,1
116.0,75,1,79.64999999999999,0,Lost,1
120.0,111,1,50.32,0,Lost,1
121.0,76,1,44.739999999999995,0,Lost,1
128.0,91,1,45.87,0,Lost,1
134.0,13,1,109.16,1,New,0
138.0,75,1,22.91,0,Lost,1
146.0,49,1,102.59,1,New,0
155.0,49,1,218.33999999999997,1,New,0
157.0,76,1,30.64,0,Lost,1
159.0,41,2,128.75,1,New,0
163.0,46,1,18.54,1,New,0
166.0,27,1,0.0,1,New,0
170.0,101,1,44.79,0,Lost,1
174.0,28,1,115.78,1,New,0
177.0,61,1,77.53999999999999,0,Lost,1
181.0,41,1,52.33,1,New,0
185.0,42,1,65.64,1,New,0
194.0,90,1,199.89,0,Lost,1
209.0,7,1,91.7,1,New,0
212.0,103,1,238.04,0,Lost,1
214.0,35,1,88.41,1,New,0
216.0,113,1,55.68,0,Lost,1
225.0,74,1,9.84,0,Lost,1
226.0,82,1,40.43,0,Lost,1
238.0,14,1,162.68,1,New,0
249.0,112,1,73.24,0,Lost,1
256.0,53,1,90.64,1,New,0
257.0,26,1,71.03999999999999,1,New,0
259.0,87,2,220.64,0,Lost,1
266.0,63,1,54.64,0,Lost,1
